"","SF/CAT","LU/PR","","","","","","","","","","","","","","","","","",""
"40","13a","LU","7.42, d=0.76","5.6, d=0.58","2.51, d=0.25","-1.14, d=-0.12","-4.54, d=-0.49","-6.45, d=-0.72","7.14, d=0.75","4.42, d=0.46","1.7, d=0.18","-2.12, d=-0.22","-5.09, d=-0.51","-7.94, d=-0.79","7.53, d=0.78","4.47, d=0.48","1.99, d=0.22","-1.03, d=-0.13","-3.22, d=-0.44","-4.5, d=-0.65"
"41","13a","PR","7.55, d=0.77","5.68, d=0.59","2.58, d=0.25","-1.09, d=-0.11","-4.46, d=-0.47","-6.41, d=-0.71","7.19, d=0.75","4.46, d=0.46","1.7, d=0.18","-2.14, d=-0.22","-5.09, d=-0.5","-8.01, d=-0.79","7.59, d=0.78","4.49, d=0.48","2.05, d=0.22","-1.02, d=-0.12","-3.27, d=-0.45","-4.56, d=-0.66"
"42","CAT",NA,"7.62, d=0.79","5.55, d=0.57","2.76, d=0.28","-0.97, d=-0.1","-4.33, d=-0.45","-6.46, d=-0.69","6.95, d=0.74","4.09, d=0.42","1.74, d=0.18","-2.23, d=-0.23","-5.05, d=-0.5","-7.91, d=-0.78","7.7, d=0.8","4.68, d=0.48","2.03, d=0.21","-1.22, d=-0.13","-3.97, d=-0.47","-5.5, d=-0.66"
"43","Ability","Ability","Ability","Ability","Ability","Ability","Ability","Ability","Ability","Ability","Ability","Ability","Ability","Ability","Ability","Ability","Ability","Ability","Ability","Ability"
"44",NA,NA,"50 mean","50 mean","50 mean","50 mean","50 mean","50 mean","60 mean","60 mean","60 mean","60 mean","60 mean","60 mean","40 mean","40 mean","40 mean","40 mean","40 mean","40 mean"
"45",NA,NA,"+8","+5","+2","-2","-5","-8","+8","+5","+2","-2","-5","-8","+8","+5","+2","-2","-5","-8"
"46","4a","LU","6.56, d=0.79","4.08, d=0.44","1.26, d=0.13","-2.13, d=-0.22","-4.41, d=-0.46","-7.36, d=-0.8","4.35, d=0.9","3.2, d=0.56","1.6, d=0.23","-0.81, d=-0.1","-3.02, d=-0.35","-5.62, d=-0.61","7.04, d=0.72","4.13, d=0.44","1.6, d=0.17","-2.27, d=-0.26","-4.04, d=-0.49","-6.35, d=-0.85"
"47","4a","PR","6.58, d=0.79","4.07, d=0.44","1.27, d=0.13","-2.13, d=-0.22","-4.41, d=-0.46","-7.38, d=-0.81","4.35, d=0.9","3.21, d=0.56","1.61, d=0.23","-0.81, d=-0.1","-3.03, d=-0.35","-5.61, d=-0.61","7.05, d=0.72","4.16, d=0.44","1.62, d=0.17","-2.26, d=-0.26","-4.03, d=-0.49","-6.34, d=-0.85"
"48","6a","LU","6.79, d=0.8","4.28, d=0.45","1.41, d=0.15","-2.14, d=-0.22","-4.44, d=-0.46","-7.44, d=-0.8","4.59, d=0.91","3.38, d=0.57","1.66, d=0.23","-0.85, d=-0.1","-3.18, d=-0.36","-5.83, d=-0.62","7.18, d=0.73","4.33, d=0.46","1.67, d=0.17","-2.29, d=-0.26","-4.1, d=-0.49","-6.41, d=-0.84"
"49","6a","PR","6.81, d=0.8","4.29, d=0.45","1.41, d=0.15","-2.14, d=-0.22","-4.45, d=-0.46","-7.47, d=-0.81","4.61, d=0.91","3.39, d=0.57","1.66, d=0.23","-0.85, d=-0.1","-3.19, d=-0.36","-5.82, d=-0.62","7.2, d=0.73","4.34, d=0.46","1.69, d=0.18","-2.29, d=-0.25","-4.1, d=-0.49","-6.42, d=-0.84"
